Depth: 2.00, Temp: 22.76, Speed: 0.08
Depth: 0.00, Temp: 27.62, Speed: 0.14
Depth: 1.99, Temp: 25.77, Speed: 0.37
Depth: 0.02, Temp: 25.02, Speed: 0.60
Depth: 1.97, Temp: 23.29, Speed: 0.67
Depth: 0.03, Temp: 29.81, Speed: 5.05
Depth: 1.96, Temp: 26.35, Speed: 5.06
Depth: 0.06, Temp: 27.11, Speed: 10.05
Depth: 1.91, Temp: 24.45, Speed: 5.15
Depth: 0.10, Temp: 24.42, Speed: 1.30
Depth: 1.87, Temp: 20.17, Speed: 5.22
Depth: 0.17, Temp: 25.33, Speed: 1.71
Depth: 1.71, Temp: 24.93, Speed: 2.51
Depth: 0.00, Temp: 27.16, Speed: 2.10
Depth: 0.00, Temp: 27.90, Speed: 0.69
Depth: 2.18, Temp: 29.37, Speed: 1.71
Depth: 0.32, Temp: 26.47, Speed: 1.25
Depth: 2.60, Temp: 24.91, Speed: 3.69
Depth: 3.78, Temp: 26.51, Speed: 1.59
Depth: 1.71, Temp: 25.42, Speed: 0.90
Depth: 3.13, Temp: 22.53, Speed: 2.88
Depth: 3.49, Temp: 22.34, Speed: 9.83
Depth: 0.00, Temp: 29.30, Speed: 11.53
Depth: 0.00, Temp: 26.93, Speed: 3.64
Depth: 6.31, Temp: 27.20, Speed: 32.09
Depth: 20.73, Temp: 23.56, Speed: 11.03
Depth: 0.00, Temp: 23.03, Speed: 36.67
Depth: 0.00, Temp: 24.75, Speed: 31.67
Depth: 0.00, Temp: 26.84, Speed: 21.50
Depth: 0.00, Temp: 22.72, Speed: 11.34
Depth: 0.00, Temp: 22.13, Speed: 3.83
Depth: 0.00, Temp: 20.81, Speed: 19.00
Depth: 0.00, Temp: 24.10, Speed: 34.16
Depth: 0.00, Temp: 23.82, Speed: 69.33
Depth: 22.96, Temp: 28.40, Speed: 52.57
Depth: 0.00, Temp: 26.29, Speed: 72.09
Depth: 0.00, Temp: 29.16, Speed: 56.93
Depth: 0.00, Temp: 21.25, Speed: 46.93
Depth: 0.00, Temp: 26.26, Speed: 36.76
Depth: 0.00, Temp: 20.29, Speed: 21.59
Depth: 0.00, Temp: 27.58, Speed: 11.59
Depth: 0.00, Temp: 23.38, Speed: 1.43
Depth: 0.00, Temp: 26.11, Speed: 8.74
Depth: 0.00, Temp: 22.83, Speed: 18.74
Depth: 0.00, Temp: 28.31, Speed: 28.91
Depth: 0.00, Temp: 22.93, Speed: 39.07
Depth: 0.00, Temp: 29.13, Speed: 49.91
