Depth: 8.15, Temp: 17.49, Speed: 1.04
Depth: 86.66, Temp: 29.19, Speed: 3.08
Depth: 50.19, Temp: 37.02, Speed: 1.32
Depth: 52.62, Temp: 15.12, Speed: 4.10
Depth: 77.74, Temp: 19.36, Speed: 1.33
Depth: 10.32, Temp: 23.24, Speed: 4.30
Depth: 57.78, Temp: 32.80, Speed: 1.37
Depth: 58.41, Temp: 37.29, Speed: 2.82
Depth: 66.87, Temp: 32.77, Speed: 2.54
Depth: 17.77, Temp: 12.14, Speed: 2.34
Depth: 77.02, Temp: 24.52, Speed: 3.51
Depth: 46.93, Temp: 29.03, Speed: 0.18
Depth: 94.05, Temp: 36.02, Speed: 2.85
Depth: 33.77, Temp: 25.11, Speed: 3.44
Depth: 75.47, Temp: 19.79, Speed: 3.12
Depth: 67.07, Temp: 38.16, Speed: 1.78
Depth: 2.08, Temp: 27.62, Speed: 3.55
Depth: 53.23, Temp: 14.20, Speed: 0.62
Depth: 56.97, Temp: 31.50, Speed: 4.92
Depth: 86.56, Temp: 34.10, Speed: 3.09
Depth: 91.73, Temp: 25.25, Speed: 0.93
Depth: 74.17, Temp: 22.78, Speed: 0.05
Depth: 63.24, Temp: 31.19, Speed: 1.97
Depth: 91.02, Temp: 10.03, Speed: 4.33
Depth: 39.62, Temp: 31.53, Speed: 3.66
Depth: 96.02, Temp: 13.99, Speed: 1.48
Depth: 8.37, Temp: 17.60, Speed: 1.19
Depth: 81.07, Temp: 36.38, Speed: 2.27
Depth: 15.86, Temp: 31.03, Speed: 0.66
Depth: 52.65, Temp: 30.31, Speed: 1.64
Depth: 29.10, Temp: 39.20, Speed: 3.72
Depth: 34.26, Temp: 24.08, Speed: 4.30
Depth: 73.38, Temp: 23.78, Speed: 0.71
Depth: 19.36, Temp: 21.76, Speed: 3.03
Depth: 5.90, Temp: 13.86, Speed: 2.34
Depth: 38.58, Temp: 29.37, Speed: 0.74
Depth: 51.52, Temp: 31.40, Speed: 3.19
Depth: 93.65, Temp: 32.56, Speed: 4.49
Depth: 84.76, Temp: 39.12, Speed: 1.72
Depth: 92.39, Temp: 28.09, Speed: 4.68
Depth: 69.47, Temp: 36.34, Speed: 4.11
Depth: 36.45, Temp: 25.04, Speed: 0.96
Depth: 10.19, Temp: 20.77, Speed: 3.25
Depth: 10.47, Temp: 18.56, Speed: 2.97
Depth: 28.71, Temp: 14.69, Speed: 3.42
Depth: 46.90, Temp: 26.60, Speed: 4.28
Depth: 29.65, Temp: 20.08, Speed: 1.06
Depth: 59.27, Temp: 22.00, Speed: 1.45
Depth: 21.29, Temp: 13.31, Speed: 2.45
Depth: 0.72, Temp: 30.63, Speed: 2.07
Depth: 13.18, Temp: 20.80, Speed: 0.47
Depth: 81.91, Temp: 24.17, Speed: 4.92
Depth: 31.98, Temp: 25.39, Speed: 1.93
Depth: 33.02, Temp: 31.16, Speed: 3.44
Depth: 16.22, Temp: 17.87, Speed: 3.96
Depth: 13.98, Temp: 31.53, Speed: 4.06
Depth: 55.51, Temp: 21.44, Speed: 2.31
Depth: 71.32, Temp: 13.66, Speed: 0.55
Depth: 86.78, Temp: 10.98, Speed: 3.66
Depth: 13.94, Temp: 27.04, Speed: 3.90
Depth: 3.24, Temp: 11.57, Speed: 0.98
Depth: 97.38, Temp: 13.97, Speed: 2.65
Depth: 32.00, Temp: 10.55, Speed: 1.97
Depth: 71.30, Temp: 15.82, Speed: 4.77
Depth: 27.60, Temp: 28.21, Speed: 1.12
Depth: 3.51, Temp: 18.05, Speed: 4.25
Depth: 8.96, Temp: 16.55, Speed: 0.27
Depth: 15.83, Temp: 25.40, Speed: 2.94
Depth: 54.81, Temp: 15.12, Speed: 0.03
Depth: 32.02, Temp: 39.12, Speed: 3.69
Depth: 63.68, Temp: 14.11, Speed: 1.91
Depth: 74.22, Temp: 16.76, Speed: 4.77
Depth: 25.83, Temp: 38.94, Speed: 2.98
Depth: 35.53, Temp: 33.22, Speed: 0.39
Depth: 43.46, Temp: 13.26, Speed: 2.85
Depth: 58.06, Temp: 16.44, Speed: 3.31
Depth: 11.89, Temp: 17.90, Speed: 4.59
Depth: 87.61, Temp: 17.72, Speed: 4.27
Depth: 46.52, Temp: 38.81, Speed: 4.13
Depth: 69.62, Temp: 24.45, Speed: 4.45
Depth: 23.00, Temp: 19.92, Speed: 2.54
Depth: 39.73, Temp: 21.90, Speed: 0.09
Depth: 90.12, Temp: 36.58, Speed: 0.72
Depth: 96.58, Temp: 36.65, Speed: 2.74
Depth: 13.88, Temp: 11.76, Speed: 4.62
Depth: 67.78, Temp: 32.89, Speed: 1.01
Depth: 60.47, Temp: 20.50, Speed: 3.43
Depth: 33.60, Temp: 23.02, Speed: 1.73
Depth: 49.25, Temp: 22.22, Speed: 0.27
Depth: 48.77, Temp: 15.15, Speed: 0.47
