Time,Depth,Temp,Speed
19:49:37,38.45,20.49,0.19
19:49:38,40.73,21.05,2.94
19:49:39,96.95,21.33,0.55
19:49:40,29.39,33.87,4.05
19:49:41,35.29,27.87,4.34
19:49:42,4.71,36.62,3.73
19:49:43,49.78,22.26,1.78
19:49:44,20.13,28.47,1.34
19:49:45,75.15,19.22,0.13
19:49:46,33.94,30.75,2.55
19:49:47,87.98,12.77,0.84
19:49:48,85.75,10.15,1.96
19:49:49,80.68,31.11,3.39
19:49:50,85.09,31.64,0.39
19:49:51,84.11,19.69,1.65
19:49:52,65.97,14.88,0.83
19:49:53,48.76,35.06,4.16
19:49:54,36.24,32.86,1.33
19:49:55,55.72,13.50,1.82
19:49:56,79.10,11.80,1.36
19:49:57,40.54,32.99,2.65
19:49:58,86.10,24.23,0.09
19:49:59,12.46,38.35,4.10
19:50:00,58.65,23.70,4.64
19:50:01,28.05,30.57,4.66
19:50:02,8.23,36.15,1.27
19:50:03,63.45,28.07,0.32
19:50:04,97.85,21.99,3.15
19:50:05,49.32,20.54,0.48
19:50:06,15.66,19.58,2.24
19:50:07,97.35,17.33,0.72
19:50:08,92.67,39.99,1.51
19:50:09,10.85,15.99,2.07
19:50:10,42.35,10.08,2.73
19:50:11,28.90,13.92,1.69
19:50:12,56.78,22.26,4.39
19:50:13,87.90,22.53,1.81
19:50:14,70.12,23.41,3.85
19:50:15,24.03,15.49,1.47
19:50:16,65.10,34.57,2.03
19:50:17,87.70,33.72,4.59
19:50:18,7.30,33.51,0.90
19:50:19,8.49,16.53,2.68
19:50:20,72.82,17.63,1.13
19:50:21,70.24,24.57,2.50
19:50:22,68.19,10.75,2.60
19:50:23,86.13,26.26,1.51
19:50:25,66.22,17.76,1.27
19:50:26,95.56,14.28,1.97
19:50:27,84.35,33.92,0.79
19:50:28,9.33,19.62,4.28
19:50:29,60.76,30.56,1.57
19:50:30,92.08,29.01,2.84
19:50:31,52.71,32.73,2.46
19:50:32,19.16,28.63,4.97
19:50:33,11.82,21.62,0.80
19:50:34,93.37,22.22,3.55
19:50:35,30.54,28.38,1.56
19:50:36,13.32,23.06,2.87
19:50:37,7.19,23.72,1.20
19:50:38,87.80,28.20,3.65
19:50:39,18.82,14.09,2.58
19:50:40,71.79,33.26,3.63
19:50:41,1.43,10.84,3.35
19:50:42,54.24,33.83,0.94
19:50:43,13.40,36.51,1.24
19:50:44,57.79,16.84,0.17
19:50:45,66.50,30.84,0.43
19:50:46,11.10,30.40,1.40
19:50:47,49.63,18.11,0.48
19:50:48,1.06,26.34,0.67
19:50:49,56.17,18.81,4.47
19:50:50,84.92,19.61,3.69
19:50:51,91.18,19.41,0.75
19:50:52,31.27,16.04,0.48
19:50:53,21.53,17.19,4.80
19:50:54,15.59,39.43,2.64
19:50:55,75.70,32.03,4.51
19:50:56,62.01,32.70,1.44
19:50:57,50.68,26.43,1.24
19:50:58,17.39,35.78,0.41
19:50:59,89.58,26.19,4.30
19:51:00,24.12,18.32,0.88
19:51:01,64.91,21.18,0.03
19:51:02,19.68,27.24,0.74
19:51:03,64.48,22.28,0.97
19:51:04,54.01,37.02,3.37
19:51:05,23.66,28.84,1.40
19:51:06,13.15,35.89,4.87
19:51:07,8.33,38.79,4.49
19:51:08,65.54,29.38,1.71
19:51:09,7.33,25.52,2.88
19:51:10,76.41,11.32,4.12
19:51:11,63.95,18.63,3.35
19:51:12,28.40,12.85,4.69
19:51:13,1.51,31.10,3.31
19:51:14,6.66,10.02,2.32
19:51:15,56.76,25.59,0.77
19:51:16,58.60,33.69,1.52
19:51:17,22.52,13.36,2.19
19:51:18,31.07,19.81,1.36
19:51:19,88.84,22.51,1.53
19:51:20,51.85,18.02,1.64
19:51:21,46.03,31.91,4.02
19:51:22,36.08,23.77,1.97
19:51:23,49.87,35.63,4.37
19:51:24,76.72,32.96,0.67
19:51:25,27.16,32.90,4.37
19:51:26,28.91,17.97,4.04
19:51:27,47.44,32.05,4.18
19:51:28,6.52,28.61,3.95
19:51:29,75.53,36.21,0.60
19:51:30,54.45,36.73,2.52
19:51:31,6.28,12.26,4.01
19:51:32,81.25,17.87,1.91
19:51:33,38.01,26.03,4.14
19:51:34,72.92,23.58,0.12
19:51:35,53.05,30.58,3.13
19:51:36,50.01,22.61,0.89
19:51:37,0.81,19.76,3.19
19:51:38,44.37,35.95,0.69
19:51:39,66.33,12.14,3.07
19:51:40,16.80,23.12,3.85
19:51:41,15.23,33.57,4.56
19:51:42,87.36,21.36,3.49
19:51:43,23.08,13.09,3.02
19:51:44,6.65,12.26,2.96
19:51:45,2.27,19.32,0.20
19:51:46,96.75,34.35,2.00
19:51:47,59.40,39.50,0.76
19:51:48,8.60,33.96,0.36
19:51:49,82.11,37.02,4.19
19:51:50,43.65,28.25,4.11
19:51:51,21.87,17.42,4.08
19:51:52,47.87,17.09,4.66
