Depth: 85.25, Temp: 39.57, Speed: 4.06
Depth: 70.77, Temp: 39.14, Speed: 2.81
Depth: 5.23, Temp: 12.17, Speed: 0.54
Depth: 45.94, Temp: 31.68, Speed: 4.85
Depth: 33.15, Temp: 28.93, Speed: 2.28
Depth: 21.87, Temp: 17.68, Speed: 1.37
Depth: 11.62, Temp: 20.03, Speed: 2.42
Depth: 97.80, Temp: 11.94, Speed: 3.88
Depth: 28.44, Temp: 21.05, Speed: 4.97
Depth: 83.66, Temp: 36.52, Speed: 3.79
Depth: 92.59, Temp: 12.33, Speed: 1.57
Depth: 17.02, Temp: 28.20, Speed: 2.20
Depth: 75.12, Temp: 27.59, Speed: 2.65
Depth: 32.52, Temp: 19.73, Speed: 1.17
Depth: 98.68, Temp: 24.93, Speed: 1.33
Depth: 71.87, Temp: 17.74, Speed: 3.04
Depth: 28.75, Temp: 19.62, Speed: 3.42
Depth: 35.78, Temp: 14.02, Speed: 4.95
Depth: 81.65, Temp: 10.77, Speed: 3.64
Depth: 90.14, Temp: 35.34, Speed: 3.28
Depth: 30.74, Temp: 16.69, Speed: 1.40
Depth: 0.80, Temp: 29.28, Speed: 0.25
Depth: 54.42, Temp: 27.71, Speed: 0.45
Depth: 7.59, Temp: 22.10, Speed: 2.82
Depth: 57.72, Temp: 16.57, Speed: 1.95
Depth: 74.25, Temp: 38.81, Speed: 0.60
Depth: 12.10, Temp: 12.60, Speed: 2.69
Depth: 10.17, Temp: 31.30, Speed: 1.56
Depth: 25.69, Temp: 17.37, Speed: 3.59
Depth: 68.35, Temp: 16.57, Speed: 2.46
Depth: 31.57, Temp: 24.26, Speed: 1.03
Depth: 57.10, Temp: 30.82, Speed: 4.29
Depth: 28.24, Temp: 27.70, Speed: 3.45
Depth: 65.61, Temp: 23.90, Speed: 1.34
Depth: 30.01, Temp: 20.00, Speed: 2.03
Depth: 8.74, Temp: 32.01, Speed: 4.64
Depth: 34.38, Temp: 31.98, Speed: 2.49
Depth: 94.35, Temp: 19.63, Speed: 3.22
Depth: 83.08, Temp: 24.03, Speed: 4.31
